id,first_name,last_name,email,totale_spesa,count_orders_per_client
21520,Ryan,Barton,ryanbarton@example.com,1818.0,4
15130,Dylan,Fleming,dylanfleming@example.net,1616.0,4
57211,Joel,Lee,joellee@example.net,1432.0,1
14848,Kevin,Rasmussen,kevinrasmussen@example.org,1406.0,4
47196,Kerry,Hancock,kerryhancock@example.com,1370.0,4
7965,Christian,Hill,christianhill@example.org,1368.0,1
28827,Jim,Harrell,jimharrell@example.com,1355.0,2
57693,Peter,Williams,peterwilliams@example.com,1285.0,3
9154,Brandon,Jimenez,brandonjimenez@example.org,1268.0,4
78391,John,Beck,johnbeck@example.com,1267.0,2
63507,Thomas,Goodwin,thomasgoodwin@example.net,1260.0,3
29066,Joshua,Kelly,joshuakelly@example.org,1252.0,2
4324,Raymond,Nash,raymondnash@example.net,1249.0,4
90021,Holly,Williams,hollywilliams@example.com,1238.0,1
53423,Michael,Johnson,michaeljohnson@example.org,1230.0,3
46153,Heather,Bates,heatherbates@example.org,1225.0,4
55783,Larry,Murphy,larrymurphy@example.net,1204.0,2
87288,Tyrone,Ramirez,tyroneramirez@example.org,1203.0,3
2192,Jeffrey,Levine,jeffreylevine@example.org,1191.0,2
3275,Charles,Miranda,charlesmiranda@example.com,1190.0,3
97457,David,Watson,davidwatson@example.com,1177.0,3
23395,John,Hoover,johnhoover@example.net,1175.0,4
55446,Rachel,Johnson,racheljohnson@example.org,1168.0,3
38188,Daniel,Massey,danielmassey@example.net,1164.0,2
41626,James,Price,jamesprice@example.org,1154.0,2
92176,Aaron,Johnson,aaronjohnson@example.net,1145.0,2
31414,Lauren,Pittman,laurenpittman@example.org,1141.0,2
94739,Adam,Norman,adamnorman@example.org,1137.0,2
97140,Maria,Short,mariashort@example.net,1126.0,3
5160,Linda,Evans,lindaevans@example.net,1125.0,1
64732,Lisa,Walton,lisawalton@example.org,1121.0,3
84395,Rachel,Everett,racheleverett@example.com,1117.0,1
57235,Scott,Goodman,scottgoodman@example.net,1113.0,1
48709,Wesley,Howell,wesleyhowell@example.net,1111.0,1
40964,Kimberly,Frazier,kimberlyfrazier@example.org,1109.0,2
91512,Jon,Jones,jonjones@example.org,1105.0,1
82699,James,Ray,jamesray@example.com,1105.0,2
66819,Joshua,Campbell,joshuacampbell@example.com,1095.0,4
94602,Nathan,Martinez,nathanmartinez@example.com,1092.0,4
18603,Shawn,Chen,shawnchen@example.com,1089.0,2
60548,Crystal,Carroll,crystalcarroll@example.org,1089.0,2
40361,William,Levy,williamlevy@example.org,1087.0,4
33588,Tim,King,timking@example.com,1084.0,4
74336,Laura,Blake,laurablake@example.org,1081.0,1
34172,Todd,Hernandez,toddhernandez@example.com,1080.0,3
88434,Kathryn,Campbell,kathryncampbell@example.com,1078.0,1
90895,Jeffrey,Myers,jeffreymyers@example.org,1075.0,4
68448,David,Doyle,daviddoyle@example.org,1074.0,1
37764,Justin,Campbell,justincampbell@example.org,1074.0,1
61874,Matthew,Baker,matthewbaker@example.org,1074.0,2
62780,John,Murray,johnmurray@example.net,1073.0,3
39904,Ashley,Wilson,ashleywilson@example.net,1072.0,3
95654,Neil,Gibbs,neilgibbs@example.org,1072.0,1
52118,Thomas,Cummings,thomascummings@example.com,1072.0,4
37912,Vanessa,Stevens,vanessastevens@example.org,1067.0,4
27240,Linda,Hill,lindahill@example.org,1067.0,1
86098,George,Thomas,georgethomas@example.com,1066.0,4
73694,Tina,Smith,tinasmith@example.org,1063.0,2
87189,Joshua,Martin,joshuamartin@example.net,1063.0,1
9369,Michael,Armstrong,michaelarmstrong@example.org,1062.0,2
65503,Alexandria,Cortez,alexandriacortez@example.net,1061.0,1
42667,Molly,Abbott,mollyabbott@example.com,1061.0,1
95843,Luis,Kim,luiskim@example.com,1058.0,2
63960,Mark,Thompson,markthompson@example.com,1056.0,4
34489,Kristen,Reynolds,kristenreynolds@example.org,1051.0,3
34526,James,Booth,jamesbooth@example.org,1051.0,2
70805,Patrick,Mckee,patrickmckee@example.net,1047.0,4
90297,Tara,Fleming,tarafleming@example.net,1045.0,2
80022,Darryl,Cruz,darrylcruz@example.net,1043.0,2
48988,Kelly,Carrillo,kellycarrillo@example.net,1041.0,3
50049,Michael,Jenkins,michaeljenkins@example.net,1037.0,2
56101,Richard,Galloway,richardgalloway@example.com,1036.0,2
53928,Kevin,Gordon,kevingordon@example.com,1036.0,2
59841,Christina,Foster,christinafoster@example.org,1034.0,4
25626,Michelle,Castillo,michellecastillo@example.com,1032.0,4
52436,David,Curtis,davidcurtis@example.org,1029.0,4
334,Brian,Evans,brianevans@example.net,1028.0,1
69246,James,Patel,jamespatel@example.com,1026.0,2
79292,Frank,Foster,frankfoster@example.org,1026.0,2
52109,Shannon,West,shannonwest@example.net,1025.0,1
67565,Shawn,Stephens,shawnstephens@example.net,1025.0,1
56809,Gary,Pena,garypena@example.org,1024.0,1
70457,Neil,Jenkins,neiljenkins@example.org,1023.0,2
29612,Christina,Solis,christinasolis@example.net,1023.0,2
80917,Joseph,Nelson,josephnelson@example.net,1022.0,3
40872,Howard,Adams,howardadams@example.com,1019.0,1
72506,Justin,Ward,justinward@example.net,1017.0,2
12958,Michael,Watson,michaelwatson@example.com,1012.0,2
7870,Jessica,Phillips,jessicaphillips@example.net,1012.0,3
51219,Joshua,Hall,joshuahall@example.com,1011.0,2
42062,Sarah,Morgan,sarahmorgan@example.org,1010.0,1
23579,Danny,Green,dannygreen@example.com,1009.0,4
26643,Raymond,Berg,raymondberg@example.org,1008.0,2
64544,Jesse,Barrett,jessebarrett@example.net,1003.0,3
87557,Ronald,Cruz,ronaldcruz@example.com,1003.0,1
95631,David,Adams,davidadams@example.org,1002.0,2
42458,Cynthia,Welch,cynthiawelch@example.net,1002.0,4
77723,Christina,Cameron,christinacameron@example.net,1000.0,2
26522,Troy,Austin,troyaustin@example.com,999.0,1
89402,Jose,Dean,josedean@example.net,999.0,1
43832,Christian,Williams,christianwilliams@example.org,999.0,1
95681,Tyler,Scott,tylerscott@example.org,999.0,1
46305,Nicholas,Sullivan,nicholassullivan@example.com,999.0,1
77033,Derek,Cruz,derekcruz@example.org,993.0,2
33486,David,Richards,davidrichards@example.org,990.0,1
91223,Aaron,Sexton,aaronsexton@example.com,990.0,1
90109,John,Allen,johnallen@example.org,990.0,1
31188,Robin,Johnson,robinjohnson@example.com,990.0,1
13437,April,Herrera,aprilherrera@example.com,988.0,4
76641,Matthew,Valentine,matthewvalentine@example.com,986.0,3
8077,Wendy,Haley,wendyhaley@example.com,986.0,2
23968,Sarah,Davis,sarahdavis@example.org,985.0,2
64661,Brandon,Nguyen,brandonnguyen@example.com,983.0,2
75573,James,Swanson,jamesswanson@example.org,982.0,3
21841,Brenda,Alvarez,brendaalvarez@example.org,981.0,1
59442,Tyler,Guerrero,tylerguerrero@example.org,980.0,3
856,Joshua,Coleman,joshuacoleman@example.org,980.0,3
4369,Hannah,Diaz,hannahdiaz@example.net,979.0,1
69978,Andrea,Jones,andreajones@example.net,978.0,2
27241,Todd,Oneal,toddoneal@example.com,978.0,2
16156,Mark,Young,markyoung@example.net,977.0,3
9138,Larry,Johnson,larryjohnson@example.org,975.0,1
9933,William,Knight,williamknight@example.com,974.0,2
34780,Ronald,Lambert,ronaldlambert@example.org,973.0,2
34802,Johnny,Morales,johnnymorales@example.com,969.0,4
5297,Brandon,Lewis,brandonlewis@example.org,968.0,2
5853,Kenneth,Burke,kennethburke@example.org,967.0,4
38761,Sherry,Conway,sherryconway@example.net,964.0,1
31833,Catherine,Rose,catherinerose@example.org,964.0,3
18221,Nathan,Hawkins,nathanhawkins@example.net,962.0,3
1244,John,Archer,johnarcher@example.net,961.0,1
1566,Catherine,Ferrell,catherineferrell@example.org,959.0,2
49722,Shelia,Miller,sheliamiller@example.com,958.0,1
19462,Carla,Cameron,carlacameron@example.com,957.0,2
98101,Kevin,Hendricks,kevinhendricks@example.com,955.0,3
51852,Craig,Morrison,craigmorrison@example.com,954.0,2
5354,Jonathan,Buckley,jonathanbuckley@example.net,950.0,1
20113,Chad,Harris,chadharris@example.com,948.0,2
83024,Janet,Hammond,janethammond@example.net,945.0,1
44166,Beth,Rodriguez,bethrodriguez@example.org,945.0,2
41943,Renee,Bishop,reneebishop@example.net,943.0,3
24304,Edward,Ingram,edwardingram@example.net,942.0,1
49730,Curtis,Nelson,curtisnelson@example.org,939.0,2
57641,James,Jackson,jamesjackson@example.com,938.0,2
21761,Aaron,Mason,aaronmason@example.com,937.0,1
8194,Ashley,Beltran,ashleybeltran@example.net,937.0,2
25397,Jonathan,Hall,jonathanhall@example.org,937.0,2
73003,Shelly,Middleton,shellymiddleton@example.net,936.0,3
71638,Kenneth,Jenkins,kennethjenkins@example.com,935.0,2
83662,John,Watkins,johnwatkins@example.net,934.0,3
45812,Cameron,Benjamin,cameronbenjamin@example.org,934.0,2
22980,Christopher,Martinez,christophermartinez@example.net,933.0,2
56264,Monique,Turner,moniqueturner@example.com,933.0,1
90813,William,Hart,williamhart@example.org,933.0,4
91624,Nicole,Williams,nicolewilliams@example.org,932.0,1
47559,Rachel,Harvey,rachelharvey@example.net,931.0,2
29896,Ricky,White,rickywhite@example.org,928.0,1
90396,Trevor,Brown,trevorbrown@example.com,926.0,2
55561,Zachary,Fernandez,zacharyfernandez@example.net,926.0,3
92181,James,Ellis,jamesellis@example.com,923.0,1
40746,James,Chavez,jameschavez@example.net,918.0,2
85259,Ellen,Johnson,ellenjohnson@example.org,916.0,3
71545,Dawn,Orozco,dawnorozco@example.com,914.0,2
62604,Adrian,Smith,adriansmith@example.net,912.0,3
15205,Michael,Martinez,michaelmartinez@example.net,911.0,3
40869,Edward,White,edwardwhite@example.com,907.0,2
89803,Tony,Garner,tonygarner@example.org,903.0,1
18419,Carol,Hernandez,carolhernandez@example.com,903.0,1
78325,Logan,Thomas,loganthomas@example.net,903.0,1
30277,Bryan,Wallace,bryanwallace@example.com,903.0,1
40717,Roy,Flynn,royflynn@example.org,903.0,1
50329,Kathleen,Young,kathleenyoung@example.com,903.0,1
66151,Scott,Quinn,scottquinn@example.net,903.0,1
67713,Christopher,Williams,christopherwilliams@example.net,903.0,1
60802,James,Barnes,jamesbarnes@example.net,903.0,1
987,Matthew,Stevens,matthewstevens@example.org,903.0,1
68331,Tiffany,Green,tiffanygreen@example.net,903.0,1
23233,Matthew,Cohen,matthewcohen@example.net,903.0,1
73169,Katrina,Johnson,katrinajohnson@example.org,903.0,1
814,Sara,Sullivan,sarasullivan@example.com,903.0,1
75320,Mariah,Rodriguez,mariahrodriguez@example.org,903.0,1
44628,Kyle,Thompson,kylethompson@example.com,903.0,1
93002,Alan,Copeland,alancopeland@example.org,903.0,1
48801,Daniel,Henderson,danielhenderson@example.net,903.0,1
70291,Tracy,Snyder,tracysnyder@example.com,903.0,1
98587,Joshua,Ball,joshuaball@example.com,903.0,1
32205,Theresa,Riley,theresariley@example.net,903.0,1
32528,Joseph,Thompson,josephthompson@example.net,903.0,1
74909,Kevin,Rose,kevinrose@example.net,903.0,1
43349,Steven,Perez,stevenperez@example.net,903.0,1
44056,Eric,Pena,ericpena@example.com,901.0,1
49029,Johnathan,Mckenzie,johnathanmckenzie@example.org,898.0,1
92940,Yvette,Meyer,yvettemeyer@example.org,895.0,1
77373,Andrea,Gross,andreagross@example.net,895.0,1
3560,Madison,Davis,madisondavis@example.net,892.0,2
40940,Victor,Hunter,victorhunter@example.org,892.0,2
60769,Amanda,Martin,amandamartin@example.org,891.0,4
48752,Donald,Cortez,donaldcortez@example.org,889.0,3
49866,Maria,Murray,mariamurray@example.org,883.0,1
29498,Renee,Richardson,reneerichardson@example.org,883.0,2
70610,Daniel,Blair,danielblair@example.net,881.0,3
8211,Daniel,Frey,danielfrey@example.com,879.0,3
1378,Russell,Griffin,russellgriffin@example.org,874.0,2
23338,Sandra,Thomas,sandrathomas@example.org,873.0,4
22582,William,Peck,williampeck@example.com,872.0,4
34847,Brandon,Smith,brandonsmith@example.com,870.0,2
85109,Andrew,Fuentes,andrewfuentes@example.net,868.0,3
26764,Kimberly,Allen,kimberlyallen@example.net,867.0,1
34988,Larry,Johnson,larryjohnson@example.org,866.0,2
98059,Jeremy,Rivera,jeremyrivera@example.org,864.0,4
