id,first_name,last_name,email,age,gender,state,street_address,postal_code,city,country,latitude,longitude,traffic_source,created_at
86313,Rachael,Peterson,rachaelpeterson@example.org,61,F,Mie,8499 Lori Motorway Apt. 274,513-0836,Suzuka City,Japan,"34,85181443","136,5087133",Search,02/08/2021 9.18.00
25706,Ryan,Drake,ryandrake@example.net,69,M,Acre,9862 Weeks Manors Suite 347,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Organic,23/02/2020 8.39.00
34637,Vincent,Walker,vincentwalker@example.com,23,M,Acre,768 Sandra Wall Suite 127,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Search,31/07/2020 10.25.00
55310,Ryan,Alexander,ryanalexander@example.net,38,M,Acre,34312 Miller Branch Apt. 960,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Display,16/09/2021 7.12.00
63456,Natasha,Nguyen,natashanguyen@example.org,56,F,Acre,342 Donna Turnpike Suite 860,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Search,30/05/2019 11.36.00
91795,Michelle,Johnson,michellejohnson@example.org,30,F,Acre,20377 Kenneth Shoal,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Organic,30/07/2020 1.39.00
29937,Brandi,Reyes,brandireyes@example.net,66,F,Acre,97985 Pope Via Suite 693,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,02/10/2020 8.35.00
32564,Lori,Stewart,loristewart@example.org,62,F,Acre,102 Rivas Key Apt. 701,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,22/01/2022 9.45.00
40414,Samuel,Hill,samuelhill@example.com,52,M,Acre,5149 Lane Trafficway,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Organic,20/10/2021 2.27.00
49615,Tiffany,Sharp,tiffanysharp@example.com,43,F,Acre,762 Julie Heights,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,05/05/2023 10.21.00
65029,Christine,Gomez,christinegomez@example.org,18,F,Acre,7763 Daniel Course Suite 480,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Organic,14/07/2022 5.57.00
79054,Monique,Marsh,moniquemarsh@example.com,64,F,Acre,0894 Frederick Stravenue,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,20/12/2020 15.24.00
86269,Heather,Burton,heatherburton@example.org,20,F,Acre,128 Ryan Forge Apt. 479,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,12/06/2020 17.28.00
86938,Holly,Gregory,hollygregory@example.net,19,F,Acre,5540 Michelle Common Suite 768,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,10/09/2022 3.01.00
91335,Russell,Duffy,russellduffy@example.net,54,M,Acre,932 Justin Trail,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Display,26/08/2022 16.14.00
4399,Thomas,Jones,thomasjones@example.org,12,M,Acre,7714 Kimberly Pine Suite 617,69970-000,Tarauacá,Brasil,"-8,325245103","-71,55302951",Search,09/03/2022 13.44.00
8121,Benjamin,Cohen,benjamincohen@example.net,69,M,Acre,240 Ali Point Suite 467,69970-000,Tarauacá,Brasil,"-8,325245103","-71,55302951",Search,02/07/2023 3.26.49
21485,Eric,Proctor,ericproctor@example.net,19,M,Acre,5761 Paul Corner,69970-000,Tarauacá,Brasil,"-8,325245103","-71,55302951",Search,22/04/2023 11.13.00
47518,Cynthia,Johnson,cynthiajohnson@example.org,35,F,Acre,414 Jackson Crescent,69970-000,Tarauacá,Brasil,"-8,325245103","-71,55302951",Search,23/09/2021 13.35.00
61851,Nicholas,Wright,nicholaswright@example.com,16,M,Acre,570 James Place,69970-000,Tarauacá,Brasil,"-8,325245103","-71,55302951",Organic,12/04/2021 1.26.00
62710,Erica,Wilson,ericawilson@example.net,21,F,Acre,47778 Kaitlyn Lodge,69970-000,Tarauacá,Brasil,"-8,325245103","-71,55302951",Email,02/07/2022 9.36.00
79835,Gregory,Noble,gregorynoble@example.net,38,M,Acre,15691 Jason Lock,69970-000,Tarauacá,Brasil,"-8,325245103","-71,55302951",Search,29/12/2020 17.11.00
4092,Kelly,Warren,kellywarren@example.org,13,F,Acre,8621 Blair Port Suite 211,69980-000,null,Brasil,"-8,065346116","-72,87094866",Search,04/02/2022 0.00.00
15918,Scott,Trevino,scotttrevino@example.com,53,M,Acre,3852 Burnett Hollow Apt. 253,69980-000,null,Brasil,"-8,065346116","-72,87094866",Facebook,26/04/2020 14.33.00
23077,Heather,Farrell,heatherfarrell@example.org,40,F,Acre,895 Nielsen Terrace Apt. 014,69980-000,null,Brasil,"-8,065346116","-72,87094866",Search,19/06/2022 6.41.00
29052,Brian,Anderson,briananderson@example.net,47,M,Acre,47391 Mcdaniel Fall,69980-000,null,Brasil,"-8,065346116","-72,87094866",Search,01/11/2019 5.25.00
36930,Michelle,Thomas,michellethomas@example.com,45,F,Acre,59728 Hicks Spur Suite 531,69980-000,null,Brasil,"-8,065346116","-72,87094866",Organic,28/11/2019 15.25.00
38046,Mark,Holland,markholland@example.com,38,M,Acre,624 Katie Estates,69980-000,null,Brasil,"-8,065346116","-72,87094866",Search,13/05/2022 15.52.00
44593,Michael,Baker,michaelbaker@example.com,66,M,Acre,7656 Julian Trail Suite 114,69980-000,null,Brasil,"-8,065346116","-72,87094866",Search,06/09/2021 2.04.00
46266,Lee,Young,leeyoung@example.org,56,M,Acre,19579 Webb Shoals Apt. 352,69980-000,null,Brasil,"-8,065346116","-72,87094866",Organic,21/04/2023 2.34.00
50843,Robert,Hicks,roberthicks@example.org,22,M,Acre,8977 Glenn Track,69980-000,null,Brasil,"-8,065346116","-72,87094866",Search,23/01/2021 12.08.00
51314,Jade,Jefferson,jadejefferson@example.com,66,F,Acre,897 Colleen Extension Apt. 776,69980-000,null,Brasil,"-8,065346116","-72,87094866",Organic,08/01/2023 16.20.00
61738,Michelle,Pierce,michellepierce@example.net,58,F,Acre,13864 Rodriguez Island,69980-000,null,Brasil,"-8,065346116","-72,87094866",Search,06/04/2020 14.26.00
71262,Susan,Phillips,susanphillips@example.com,16,F,Acre,343 Mark Land Apt. 068,69980-000,null,Brasil,"-8,065346116","-72,87094866",Search,22/05/2019 10.06.00
79668,Robert,Higgins,roberthiggins@example.org,59,M,Acre,034 Anthony Ferry,69980-000,null,Brasil,"-8,065346116","-72,87094866",Search,30/06/2019 0.31.00
82177,Dustin,Carey,dustincarey@example.com,57,M,Acre,3731 Roger Port Suite 184,69980-000,null,Brasil,"-8,065346116","-72,87094866",Search,19/01/2021 6.13.00
83024,Jamie,Owens,jamieowens@example.net,43,F,Acre,850 Bennett Passage,69980-000,null,Brasil,"-8,065346116","-72,87094866",Organic,17/10/2022 1.20.00
10087,Kathryn,Carr,kathryncarr@example.org,57,F,Gifu,777 Thompson Inlet,507-0901,Tajimi City,Japan,"35,2940372","137,1606303",Email,27/08/2021 16.28.00
17434,Holly,Turner,hollyturner@example.net,17,F,Gifu,45836 Daniels Roads,507-0901,Tajimi City,Japan,"35,2940372","137,1606303",Email,29/03/2021 14.10.00
38851,Michelle,Gardner,michellegardner@example.net,52,F,Gifu,558 Acosta Way,507-0901,Tajimi City,Japan,"35,2940372","137,1606303",Email,05/06/2019 7.30.00
25284,Melissa,Powell,melissapowell@example.net,32,F,Gifu,351 Brenda Port,509-0206,Visa city,Japan,"35,42476281","137,0152741",Search,04/06/2020 1.55.00
54255,Stephen,Simmons,stephensimmons@example.net,70,M,Gifu,255 Maria Tunnel Suite 831,509-5122,Eco-shi,Japan,"35,34124521","137,1766262",Organic,24/11/2019 4.08.00
5504,Danielle,Jones,daniellejones@example.net,44,F,Iowa,46028 Shaffer Loop,50010,Ames,United States,"42,03294842","-93,59109706",Organic,10/05/2020 4.37.00
